,precision,recall,f1-score,support
cat,0.65,0.63,0.64,262
dog,0.57,0.63,0.59,249
panda,0.90,0.84,0.87,239
avg/total,0.70,0.69,0.70,750
,precision,recall,f1-score,support
cat,0.00,0.00,0.00,262
dog,0.33,1.00,0.50,249
panda,0.00,0.00,0.00,239
avg/total,0.11,0.33,0.17,750
,precision,recall,f1-score,support
cat,0.00,0.00,0.00,262
dog,0.00,0.00,0.00,249
panda,0.32,1.00,0.48,239
avg/total,0.10,0.32,0.15,750
,precision,recall,f1-score,support
cat,0.68,0.68,0.68,262
dog,0.61,0.66,0.64,249
panda,0.90,0.82,0.86,239
avg/total,0.73,0.72,0.72,750
