,precision,recall,f1-score,support
cat,0.67,0.52,0.58,262
dog,0.62,0.55,0.58,249
panda,0.71,0.95,0.81,239
avg/total,0.66,0.67,0.66,750
,precision,recall,f1-score,support
cat,0.73,0.44,0.55,262
dog,0.57,0.66,0.61,249
panda,0.75,0.95,0.84,239
avg/total,0.69,0.68,0.66,750
,precision,recall,f1-score,support
cat,0.74,0.64,0.69,262
dog,0.67,0.71,0.69,249
panda,0.87,0.95,0.91,239
avg/total,0.76,0.76,0.76,750
,precision,recall,f1-score,support
cat,0.73,0.61,0.67,262
dog,0.64,0.73,0.68,249
panda,0.89,0.91,0.90,239
avg/total,0.75,0.75,0.74,750
